threshold,accuracy,precision,recall,f1,far,frr
2.484779599853937e-07,0.652,0.589622641509434,1.0,0.7418397626112759,0.696,0.0
2.8314735800449853e-07,0.654,0.5910165484633569,1.0,0.7429420505200595,0.692,0.0
3.01672173463885e-07,0.656,0.5924170616113744,1.0,0.7440476190476191,0.688,0.0
3.159240122840856e-07,0.658,0.5938242280285035,1.0,0.7451564828614009,0.684,0.0
4.0488140484740143e-07,0.66,0.5952380952380952,1.0,0.746268656716418,0.68,0.0
4.944212719237839e-07,0.662,0.5966587112171837,1.0,0.7473841554559043,0.676,0.0
6.050651109035243e-07,0.664,0.5980861244019139,1.0,0.7485029940119761,0.672,0.0
6.392218097062141e-07,0.666,0.5995203836930456,1.0,0.7496251874062968,0.668,0.0
6.629817903558433e-07,0.668,0.6009615384615384,1.0,0.7507507507507507,0.664,0.0
7.667317163395637e-07,0.67,0.6024096385542169,1.0,0.7518796992481203,0.66,0.0
7.767446277284762e-07,0.672,0.6038647342995169,1.0,0.7530120481927711,0.656,0.0
7.777022688060242e-07,0.674,0.6053268765133172,1.0,0.7541478129713424,0.652,0.0
1.3828474720867234e-06,0.676,0.6067961165048543,1.0,0.7552870090634441,0.648,0.0
1.4293191270553507e-06,0.678,0.6082725060827251,1.0,0.75642965204236,0.644,0.0
1.4503883676297846e-06,0.68,0.6097560975609756,1.0,0.7575757575757576,0.64,0.0
1.481484787291265e-06,0.682,0.6112469437652812,1.0,0.7587253414264037,0.636,0.0
1.6337174884029082e-06,0.684,0.6127450980392157,1.0,0.7598784194528876,0.632,0.0
1.6736534007577575e-06,0.686,0.6142506142506142,1.0,0.76103500761035,0.628,0.0
1.84868952146644e-06,0.688,0.6157635467980296,1.0,0.7621951219512195,0.624,0.0
1.8558559986558976e-06,0.69,0.6172839506172839,1.0,0.7633587786259542,0.62,0.0
1.967906200661673e-06,0.692,0.6188118811881188,1.0,0.764525993883792,0.616,0.0
2.0396432773850393e-06,0.694,0.6203473945409429,1.0,0.7656967840735069,0.612,0.0
2.0850768578384304e-06,0.696,0.6218905472636815,1.0,0.7668711656441718,0.608,0.0
2.3170509848569054e-06,0.698,0.6234413965087282,1.0,0.7680491551459293,0.604,0.0
2.342608922845102e-06,0.7,0.625,1.0,0.7692307692307693,0.6,0.0
2.505099701011204e-06,0.702,0.6265664160401002,1.0,0.7704160246533128,0.596,0.0
